nombre,apellido,cargo,foto_url,wikidata_id,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,fuente_url,fuente_nombre,ministerio
Santiago,Cafiero,diputado,https://parlamentaria.hcdn.gob.ar/image/20273754041_20231218134818000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Mariano,Campero,diputado,https://parlamentaria.hcdn.gob.ar/image/20301177314_20231128100341000_small.png,,Tucuman,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Celia,Campitelli,diputado,https://parlamentaria.hcdn.gob.ar/image/27051354805_20231130154636000_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Julieta Marisol,Campo,diputado,https://parlamentaria.hcdn.gob.ar/image/27360187867_20251127084629000_small.png,,Chaco,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lucía,Cámpora,diputado,https://parlamentaria.hcdn.gob.ar/image/27357276328_20251127112232000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sergio Eduardo,Capozzi,diputado,https://parlamentaria.hcdn.gob.ar/image/23111038589_20231129154056000_small.png,,Rio Negro,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Florencia,Carignano,diputado,https://parlamentaria.hcdn.gob.ar/image/27266811425_20231218134938000_small.png,,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alejandro,Carrancio,diputado,https://parlamentaria.hcdn.gob.ar/image/20253856409_20251127112724000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sergio Guillermo,Casas,diputado,https://parlamentaria.hcdn.gob.ar/image/20172493379_20231129154211000_small.png,,La Rioja,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos Daniel,Castagneto,diputado,https://parlamentaria.hcdn.gob.ar/image/20139425163_20231128100920000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
