nombre,apellido,cargo,provincia,bloque,mandato,foto_url,wikidata_id,fuente_url,fuente_nombre
Carlos,GustavoJaime Quiroga,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Nancy,VivianaPicón Martínez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Ernesto,NaderAlí,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Carlos,AlbertoAlmena,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Jorge,"""Gato""Fernández",diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
José,LuisGarrido,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Ana,MaríaIanni,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
MoiraLanesan,Sancho,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Juan,CarlosMolina,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Diego,AlbertoGiuliano,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Germán,PedroMartínez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Juan,PabloMontenegro,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Agustín,OscarRossi,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
José,EdgardoGómez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
CeciliaLópez,Pasquali,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Estela,MaryNeder,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Jorge,NeriAraujo Hernández,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Paulo,AgustínTita,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Carlos,AníbalCisneros,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Elia,MarinaFernández de Mansilla,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Federico,AgustínPelli,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Pablo,RaúlYedlin,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
